gene	pos
IGHV(II)-33-1	91
IGHV3-33	92
IGHV3-32	94
IGHV(II)-31-1	95
IGHV4-31	96
IGHV3-30-52	97
IGHV(II)-30-51	98
IGHV3-30-5	99
IGHV3-30-42	100
IGHV(II)-30-41	101
IGHV4-30-4	102
IGHV3-30-33	103
IGHV(II)-30-32	104
IGHV3-30-3	105
IGHV3-30-22	106
IGHV(II)-30-21	107
IGHV4-30-2	108
IGHV4-30-1	109
IGHV3-30-2	110
IGHV(II)-30-1	111
IGHV3-30	112
IGHV3-29	114
IGHV(II)-28-1	115
IGHV4-28	116
IGHV7-27	117
IGHV(II)-26-2	118
IGHV(III)-26-1	119
IGHV2-26	120
IGHV(III)-25-1	121
IGHV3-25	122
IGHV1-24	123
IGHV3-23D	124
IGHV(III)-22-2D	125
IGHV(II)-22-1D	126
IGHV3-23	127
IGHV(III)-22-2	128
IGHV(II)-22-1	129
IGHV3-22	130
IGHV3-21	131
IGHV(II)-20-1	132
IGHV3-20	133
IGHV3-19	134
IGHV1-18	135
IGHV1-17	137
IGHV(III)-16-1	138
IGHV3-16	139
IGHV(II)-15-1	140
IGHV3-15	141
IGHV1-14	142
IGHV(III)-13-1	143
IGHV3-13	144
IGHV1-12	145
IGHV(III)-11-1	146
IGHV3-11	147
IGHV2-10	148
IGHV3-9	149
IGHV1-8	150
IGHV5-10-1	151
IGHV3-64D	152
IGHV3-7	153
IGHV3-6	154
IGHV(III)-5-2	155
IGHV(III)-5-1	156
IGHV2-5	157
IGHV7-4-1	158
IGHV4-4	159
IGHV1-3	160
IGHV(III)-2-1	161
IGHV1-2	162
IGHV(II)-1-1	165
IGHV6-1	166
IGHD1-1	168
IGHD2-2	169
IGHD3-3	170
IGHD4-4	171
IGHD5-5	172
IGHD6-6	173
IGHD1-7	174
IGHD2-8	175
IGHD3-9	176
IGHD3-10	177
IGHD4-11	178
IGHD5-12	179
IGHD6-13	180
IGHD1-14	181
IGHD2-15	182
IGHD3-16	183
IGHD4-17	184
IGHD5-18	185
IGHD6-19	186
IGHD1-20	187
IGHD2-21	188
IGHD3-22	189
IGHD4-23	190
IGHD5-24	191
IGHD6-25	192
IGHD1-26	193
IGHJ1P	194
IGHD7-27	195
IGHJ1	196
IGHJ2	197
IGHJ2P	198
IGHJ3	199
IGHJ4	200
IGHJ5	201
IGHJ3P	202
IGHJ6	203
IGHCM	204
IGHCD	205
IGHCG3	206
IGHCG1	207
IGHCEP1	208
IGHCEP2	209
IGHCA1	210
IGHCGP	211
IGHCG2	212
IGHCG4	213
IGHCE	214
IGHCA2	215
IGKV1-NL1	0
IGKV3D-7	1
IGKV1D-8	2
IGKV1D-43	3
IGKV1D-42	4
IGKV2D-10	5
IGKV3D-11	6
IGKV1D-12	7
IGKV1D-13	8
IGKV2D-14	9
IGKV3D-15	10
IGKV1D-16	11
IGKV1D-17	12
IGKV6D-41	13
IGKV2D-18	14
IGKV2D-19	15
IGKV3D-20	16
IGKV6D-21	17
IGKV1D-22	18
IGKV2D-23	19
IGKV2D-24	20
IGKV3D-25	21
IGKV2D-26	22
IGKV1D-27	23
IGKV2D-28	24
IGKV2D-29	25
IGKV2D-30	26
IGKV3D-31	27
IGKV1D-32	28
IGKV1D-33	29
IGKV3D-34	30
IGKV1D-35	31
IGKV2D-36	32
IGKV1D-37	33
IGKV2D-38	34
IGKV1D-39	35
IGKV2D-40	36
IGKV2-40	37
IGKV1-39	38
IGKV2-38	39
IGKV1-37	40
IGKV2-36	41
IGKV1-35	42
IGKV3-34	43
IGKV1-33	44
IGKV1-32	45
IGKV3-31	46
IGKV2-30	47
IGKV2-29	48
IGKV2-28	49
IGKV1-27	50
IGKV2-26	51
IGKV3-25	52
IGKV2-24	53
IGKV2-23	54
IGKV1-22	55
IGKV6-21	56
IGKV3-20	57
IGKV2-19	58
IGKV2-18	59
IGKV1-17	60
IGKV1-16	61
IGKV3-15	62
IGKV2-14	63
IGKV1-13	64
IGKV1-12	65
IGKV3-11	66
IGKV2-10	67
IGKV1-9	68
IGKV1-8	69
IGKV3-7	70
IGKV1-6	71
IGKV1-5	72
IGKV2-4	73
IGKV7-3	74
IGKV5-2	75
IGKV4-1	76
IGKJ1	77
IGKJ2	78
IGKJ3	79
IGKJ4	80
IGKJ5	81
IGKC	82
IGLV(I)-70	1
IGLV4-69	2
IGLV(I)-68	3
IGLV10-67	4
IGLV(IV)-66-1	5
IGLV(V)-66	6
IGLV(IV)-65	7
IGLV(IV)-64	8
IGLV(I)-63	9
IGLV1-62	10
IGLV8-61	11
IGLV(III)-60-1	12
IGLV4-60	13
IGLV(III)-59-1	14
IGLV(IV)-59	15
IGLV(V)-58	16
IGLV6-57	17
IGLV(I)-56	18
IGLV(IV)-55-1	19
IGLV11-55	20
IGLV10-54	21
IGLV(IV)-53	22
IGLV5-52	23
IGLV1-51	24
IGLV1-50	25
IGLV9-49	26
IGLV5-48	27
IGLV1-47	28
IGLV7-46	29
IGLV5-45	30
IGLV1-44	31
IGLV7-43	32
IGLV(I)-42	33
IGLV(VII)-41-1	34
IGLV1-41	35
IGLV1-40	36
IGLV5-39	37
IGLV(I)-38	38
IGLV5-37	39
IGLV1-36	40
IGLV7-35	41
IGLV2-34	42
IGLV2-33	43
IGLV3-32	44
IGLV3-31	45
IGLV3-30	46
IGLV3-29	47
IGLV2-28	48
IGLV3-27	49
IGLV3-26	50
IGLV(VI)-25-1	51
IGLV3-25	52
IGL(VII)-24-1	53
IGLV3-24	54
IGLV2-23	55
IGLV(VI)-22-1	56
IGLV3-22	57
IGLV3-21	58
IGLV(I)-20	59
IGLV3-19	60
IGLV2-18	61
IGLV3-17	62
IGLV3-16	63
IGLV3-15	64
IGLV2-14	65
IGLV3-13	66
IGLV3-12	67
IGLV2-11	68
IGLV3-10	69
IGLV3-9	70
IGLV2-8	71
IGLV3-7	72
IGLV3-6	73
IGLV2-5	74
IGLV3-4	75
IGLV4-3	76
IGLV3-2	77
IGLV3-1	78
IGLJ1	79
IGLC1	80
IGLJ2	81
IGLC2	82
IGLJ3	83
IGLC3	84
IGLJ4	85
IGLC4	86
IGLJ5	87
IGLC5	88
IGLJ6	89
IGLC6	90
IGLJ7	91
IGLC7	92
TRAV1-1	1
TRAV1-2	2
TRAV2	3
TRAV3	4
TRAV4	5
TRAV5	6
TRAV6	7
TRAV7	8
TRAVA	9
TRAV8-1	10
TRAV9-1	11
TRAV10	12
TRAV11	13
TRAV12-1	14
TRAV8-2	15
TRAV8-3	16
TRAVB	17
TRAV13-1	18
TRAV14-1	19
TRAV11-1	20
TRAV12-2	21
TRAV8-4	22
TRAV8-5	23
TRAV13-2	24
TRAV14/DV4	25
TRAV9-2	26
TRAV15	27
TRAV12-3	28
TRAV8-6	29
TRAV16	30
TRAV17	31
TRAV18	32
TRAV19	33
TRAVC	34
TRAV20	35
TRAV21	36
TRAV8-6-1	37
TRAV22	38
TRAV23/DV6	39
TRDV1	40
TRAV24	41
TRAV25	42
TRAV26-1	43
TRAV8-7	44
TRAV27	45
TRAV28	46
TRAV29/DV5	47
TRAV30	48
TRAV31	49
TRAV32	50
TRAV33	51
TRAV26-2	52
TRAV34	53
TRAV35	54
TRAV36/DV7	55
TRAV37	56
TRAV38-1	57
TRAV38-2/DV8	58
TRAV39	59
TRAV40	60
TRAV41	61
TRAV46	62
TRDV2	63
TRDD1	64
TRDD2	65
TRDD3	66
TRDJ1	67
TRDJ4	68
TRDJ2	69
TRDJ3	70
TRDC	71
TRDV3	72
TRAJ61	73
TRAJ60	74
TRAJ59	75
TRAJ58	76
TRAJ57	77
TRAJ56	78
TRAJ55	79
TRAJ54	80
TRAJ53	81
TRAJ52	82
TRAJ51	83
TRAJ50	84
TRAJ49	85
TRAJ48	86
TRAJ47	87
TRAJ46	88
TRAJ45	89
TRAJ44	90
TRAJ43	91
TRAJ42	92
TRAJ41	93
TRAJ40	94
TRAJ39	95
TRAJ38	96
TRAJ37	97
TRAJ36	98
TRAJ35	99
TRAJ34	100
TRAJ33	101
TRAJ32	102
TRAJ31	103
TRAJ30	104
TRAJ29	105
TRAJ28	106
TRAJ27	107
TRAJ26	108
TRAJ25	109
TRAJ24	110
TRAJ23	111
TRAJ22	112
TRAJ21	113
TRAJ20	114
TRAJ19	115
TRAJ18	116
TRAJ17	117
TRAJ16	118
TRAJ15	119
TRAJ14	120
TRAJ13	121
TRAJ12	122
TRAJ11	123
TRAJ10	124
TRAJ9	125
TRAJ8	126
TRAJ7	127
TRAJ6	128
TRAJ5	129
TRAJ4	130
TRAJ3	131
TRAJ2	132
TRAJ1	133
TRAC	134
TRBV1	1
TRBV2	2
TRBV3-1	3
TRBV4-1	4
TRBV5-1	5
TRBV6-1	6
TRBV7-1	7
TRBV4-2	8
TRBV6-2	9
TRBV3-2	10
TRBV4-3	11
TRBV6-3	12
TRBV7-2	13
TRBV8-1	14
TRBV5-2	15
TRBV6-4	16
TRBV7-3	17
TRBV8-2	18
TRBV5-3	19
TRBV9	20
TRBV10-1	21
TRBV11-1	22
TRBV12-1	23
TRBV10-2	24
TRBV11-2	25
TRBV12-2	26
TRBV6-5	27
TRBV7-4	28
TRBV5-4	29
TRBV6-6	30
TRBV7-5	31
TRBV5-5	32
TRBV6-7	33
TRBV7-6	34
TRBV5-6	35
TRBV6-8	36
TRBV7-7	37
TRBV5-7	38
TRBV6-9	39
TRBV7-8	40
TRBV5-8	41
TRBV7-9	42
TRBV13	43
TRBV10-3	44
TRBV11-3	45
TRBV12-3	46
TRBV12-4	47
TRBV12-5	48
TRBV14	49
TRBV15	50
TRBV16	51
TRBV17	52
TRBV18	53
TRBV19	54
TRBV20-1	55
TRBV21-1	56
TRBV22-1	57
TRBV23-1	58
TRBV24-1	59
TRBV25-1	60
TRBVA	61
TRBV26	62
TRBVB	63
TRBV27	64
TRBVC	65
TRBV28	66
TRBV29-1	67
TRBD1	68
TRBJ1-1	69
TRBJ1-2	70
TRBJ1-3	71
TRBJ1-4	72
TRBJ1-5	73
TRBJ1-6	74
TRBC1	75
TRBD2	76
TRBJ2-1	77
TRBJ2-2	78
TRBJ2-2P	79
TRBJ2-3	80
TRBJ2-4	81
TRBJ2-5	82
TRBJ2-6	83
TRBJ2-7	84
TRBC2	85
TRBV30	86
TRGV1	1
TRGV2	2
TRGV3	3
TRGV3P	4
TRGV4	5
TRGV5	6
TRGV5P	7
TRGV6	8
TRGV7	9
TRGV8	10
TRGVA	11
TRGV9	12
TRGV10	13
TRGVB	14
TRGV11	15
TRGJP1	16
TRGJP	17
TRGJ1	18
TRGC1	19
TRGJP2	20
TRGJ2	21
TRGC2	22
