gene	pos
IGLVI-56	18
TRAV13-1	18
TRBV8-2	18
TRGJ1	18
IGHVIII-67-4D	19
IGKV2D-23	19
IGLV11-55	19
TRAV14-1	19
TRBV5-3	19
TRGC1	19
IGHVIII-67-3D	20
IGKV2D-24	20
IGLV10-54	20
TRAV11-1	20
TRBV9	20
TRGJP2	20
IGHV1-69-2	21
IGKV3D-25	21
IGLVIV-53	21
TRAV12-2	21
TRBV10-1	21
TRGJ2	21
IGHV3-69-1	22
IGKV2D-26	22
TRAV8-4	22
TRBV11-1	22
TRGC2	22
IGHV2-70D	23
IGKV1D-27	23
IGLV5-52	23
TRAV8-5	23
TRBV12-1	23
IGHV1-69	24
IGKV2D-28	24
IGLV1-51	24
TRAV13-2	24
TRBV10-2	24
IGHV1-68	25
IGKV2D-29	25
IGLV1-50	25
TRAV14/DV4	25
TRBV11-2	25
IGHVIII-67-4	26
IGKV2D-30	26
IGLV9-49	26
TRAV9-2	26
TRBV12-2	26
IGHVIII-67-3	27
IGKV3D-31	27
IGLV5-48	27
TRAV15	27
TRBV6-5	27
IGHVIII-67-2	28
IGKV1D-32	28
IGLV1-47	28
TRAV12-3	28
TRBV7-4	28
IGHVII-67-1	29
IGKV1D-33	29
IGLV7-46	29
TRAV8-6	29
TRBV5-4	29
IGKV3D-34	30
IGLV5-45	30
TRAV16	30
TRBV6-6	30
IGHV1-67	31
IGKV1D-35	31
IGLV1-44	31
TRAV17	31
TRBV7-5	31
IGHV3-66	32
IGKV2D-36	32
IGLV7-43	32
TRAV18	32
TRBV5-5	32
IGHVII-65-1	33
IGKV1D-37	33
IGLVI-42	33
TRAV19	33
TRBV6-7	33
IGHV3-65	34
IGKV2D-38	34
IGLVVII-41-1	34
TRAVC	34
TRBV7-6	34
IGHV3-64	35
IGKV1D-39	35
IGLV1-41	35
TRAV20	35
TRBV5-6	35
IGKV2D-40	36
IGLV1-40	36
TRAV21	36
TRBV6-8	36
IGHV3-63	37
IGKV2-40	37
IGLV5-39	37
TRAV8-6-1	37
TRBV7-7	37
IGHVII-62-1	38
IGKV1-39	38
IGLVI-38	38
TRAV22	38
TRBV5-7	38
IGHV3-62	39
IGKV2-38	39
IGLV5-37	39
TRAV23/DV6	39
TRBV6-9	39
IGHV4-61	40
IGKV1-37	40
IGLV1-36	40
TRDV1	40
TRBV7-8	40
IGHVII-60-1	41
IGKV2-36	41
IGLV7-35	41
TRAV24	41
TRBV5-8	41
IGHV3-60	42
IGKV1-35	42
TRAV25	42
TRBV7-9	42
IGHV4-59	43
IGKV3-34	43
TRAV26-1	43
TRBV13	43
IGHV1-58	44
IGKV1-33	44
TRAV8-7	44
TRBV10-3	44
IGHV3-57	45
IGKV1-32	45
IGLV2-34	45
TRAV27	45
TRBV11-3	45
IGHV7-56	46
IGKV3-31	46
IGLV2-33	46
TRAV28	46
TRBV12-3	46
IGHV4-55	47
IGKV2-30	47
IGLV3-32	47
TRAV29/DV5	47
TRBV12-4	47
IGHV3-54	48
IGKV2-29	48
IGLV3-31	48
TRAV30	48
TRBV12-5	48
IGHVII-53-1	49
IGKV2-28	49
IGLV3-30	49
TRAV31	49
TRBV14	49
IGHV3-53	50
IGKV1-27	50
TRAV32	50
TRBV15	50
IGHV3-52	51
IGKV2-26	51
TRAV33	51
TRBV16	51
IGHVII-51-2	52
IGKV3-25	52
TRAV26-2	52
TRBV17	52
IGHV8-51-1	53
IGKV2-24	53
TRAV34	53
TRBV18	53
IGHV5-51	54
IGKV2-23	54
IGLV3-29	54
TRAV35	54
TRBV19	54
IGHV3-50	55
IGKV1-22	55
IGLV2-28	55
TRAV36/DV7	55
TRBV20-1	55
IGHVII-49-1	56
IGKV6-21	56
IGLV3-27	56
TRAV37	56
TRBV21-1	56
IGHV3-49	57
IGKV3-20	57
IGLV3-26	57
TRAV38-1	57
TRBV22-1	57
IGHV3-48	58
IGKV2-19	58
IGLVVI-25-1	58
TRAV38-2/DV8	58
TRBV23-1	58
IGHVIII-47-1	59
IGKV2-18	59
IGLV3-25	59
TRAV39	59
TRBV24-1	59
IGHV3-47	60
IGKV1-17	60
IGLV3-24	60
TRAV40	60
TRBV25-1	60
IGHVII-46-1	61
IGKV1-16	61
IGLV2-23	61
TRAV41	61
TRBVA	61
IGHV1-46	62
IGKV3-15	62
IGLVVI-22-1	62
TRAV46	62
TRBV26	62
IGHV1-45	63
IGKV2-14	63
IGLV3-22	63
TRDV2	63
TRBVB	63
IGHVII-44-2	64
IGKV1-13	64
IGLV3-21	64
TRDD1	64
TRBV27	64
IGHVIV-44-1	65
IGKV1-12	65
IGLVI-20	65
TRDD2	65
TRBVC	65
IGHVIII-44	66
IGKV3-11	66
IGLV3-19	66
TRDD3	66
TRBV28	66
IGHVII-43-1	67
IGKV2-10	67
IGLV2-18	67
TRDJ1	67
TRBV29-1	67
IGHV3-43	68
IGKV1-9	68
IGLV3-17	68
TRDJ4	68
IGHV3-42	69
IGKV1-8	69
IGLV3-16	69
TRDJ2	69
IGHV3-41	70
IGKV3-7	70
IGLV3-15	70
TRDJ3	70
IGHVII-40-1	71
IGKV1-6	71
IGLV2-14	71
TRDC	71
IGHV7-40	72
IGKV1-5	72
IGLV3-13	72
TRDV3	72
IGHV4-39	73
IGKV2-4	73
IGLV3-12	73
TRAJ61	73
TRBD1	73
IGHV1-38-4	74
IGKV7-3	74
IGLV2-11	74
TRAJ60	74
TRBJ1-1	74
IGHVIII-38-1D	75
IGKV5-2	75
IGLV3-10	75
TRAJ59	75
TRBJ1-2	75
IGHV3-38-3	76
IGKV4-1	76
IGLV3-9	76
TRAJ58	76
TRBJ1-3	76
IGHVIII-44D	77
IGKJ1	77
IGLV2-8	77
TRAJ57	77
TRBJ1-4	77
IGHVII-43-1D	78
IGKJ2	78
IGLV3-7	78
TRAJ56	78
TRBJ1-5	78
IGHV3-43D	79
IGKJ3	79
IGLV3-6	79
TRAJ55	79
TRBJ1-6	79
IGHV3-42D	80
IGKJ4	80
IGLV2-5	80
TRAJ54	80
TRBC1	80
IGHV7-40D	81
IGKJ5	81
IGLV3-4	81
TRAJ53	81
TRBD2	81
IGHV4-38-2	82
IGKC	82
IGLV4-3	82
TRAJ52	82
TRBJ2-1	82
IGHVIII-38-1	83
IGLV3-2	83
TRAJ51	83
TRBJ2-2	83
IGHV3-38	84
IGLV3-1	84
TRAJ50	84
TRBJ2-2P	84
IGHV3-37	85
IGLJ1	85
TRAJ49	85
TRBJ2-3	85
IGHV3-36	86
IGLC1	86
TRAJ48	86
TRBJ2-4	86
IGHV3-35	87
IGLJ2	87
TRAJ47	87
TRBJ2-5	87
IGHV7-34-1	88
IGLC2	88
TRAJ46	88
TRBJ2-6	88
IGHV4-34	89
IGLJ3	89
TRAJ45	89
TRBJ2-7	89
IGHV3-33-2	90
IGLC3	90
TRAJ44	90
TRBC2	90
IGHVII-33-1	91
IGLJ4	91
TRAJ43	91
TRBV30	91
IGHV3-33	92
IGLC4	92
TRAJ42	92
IGLJ5	93
TRAJ41	93
IGHV3-32	94
IGLC5	94
TRAJ40	94
IGHVII-31-1	95
IGLJ6	95
TRAJ39	95
IGHV4-31	96
IGLC6	96
TRAJ38	96
IGHV3-30-52	97
IGLJ7	97
TRAJ37	97
IGHVII-30-51	98
IGLC7	98
TRAJ36	98
IGHV3-30-5	99
TRAJ35	99
IGHV3-30-42	100
TRAJ34	100
IGHVII-30-41	101
TRAJ33	101
IGHV4-30-4	102
TRAJ32	102
IGHV3-30-33	103
TRAJ31	103
IGHVII-30-32	104
TRAJ30	104
IGHV3-30-3	105
TRAJ29	105
IGHV3-30-22	106
TRAJ28	106
IGHVII-30-21	107
TRAJ27	107
IGHV4-30-2	108
TRAJ26	108
IGHV4-30-1	109
TRAJ25	109
IGHV3-30-2	110
TRAJ24	110
IGHVII-30-1	111
TRAJ23	111
IGHV3-30	112
TRAJ22	112
TRAJ21	113
IGHV3-29	114
TRAJ20	114
IGHVII-28-1	115
TRAJ19	115
IGHV4-28	116
TRAJ18	116
IGHV7-27	117
TRAJ17	117
IGHVII-26-2	118
TRAJ16	118
IGHVIII-26-1	119
TRAJ15	119
IGHV2-26	120
TRAJ14	120
IGHVIII-25-1	121
TRAJ13	121
IGHV3-25	122
TRAJ12	122
IGHV1-24	123
TRAJ11	123
IGHV3-23D	124
TRAJ10	124
IGHVIII-22-2D	125
TRAJ9	125
IGHVII-22-1D	126
TRAJ8	126
IGHV3-23	127
TRAJ7	127
IGHVIII-22-2	128
TRAJ6	128
IGHVII-22-1	129
TRAJ5	129
IGHV3-22	130
TRAJ4	130
IGHV3-21	131
TRAJ3	131
IGHVII-20-1	132
TRAJ2	132
IGHV3-20	133
TRAJ1	133
IGHV3-19	134
TRAC	134
IGHV1-18	135
IGHV1-17	137
IGHVIII-16-1	138
IGHV3-16	139
IGHVII-15-1	140
IGHV3-15	141
IGHV1-14	142
IGHVIII-13-1	143
IGHV3-13	144
IGHV1-12	145
IGHVIII-11-1	146
IGHV3-11	147
IGHV2-10	148
IGHV3-9	149
IGHV1-8	150
IGHV5-10-1	151
IGHV3-64D	152
IGHV3-7	153
IGHV3-6	154
IGHVIII-5-2	155
IGHVIII-5-1	156
IGHV2-5	157
IGHV7-4-1	158
IGHV4-4	159
IGHV1-3	160
IGHVIII-2-1	161
IGHV1-2	162
IGHVII-1-1	165
IGHV6-1	166
IGHD1-1	168
IGHD2-2	169
IGHD3-3	170
IGHD4-4	171
IGHD5-5	172
IGHD6-6	173
IGHD1-7	174
IGHD2-8	175
IGHD3-9	176
IGHD3-10	177
IGHD4-11	178
IGHD5-12	179
IGHD6-13	180
IGHD1-14	181
IGHD2-15	182
IGHD3-16	183
IGHD4-17	184
IGHD5-18	185
IGHD6-19	186
IGHD1-20	187
IGHD2-21	188
IGHD3-22	189
IGHD4-23	190
IGHD5-24	191
IGHD6-25	192
IGHD1-26	193
IGHJ1P	194
IGHD7-27	195
IGHJ1	196
IGHJ2	197
IGHJ2P	198
IGHJ3	199
IGHJ4	200
IGHJ5	201
IGHJ3P	202
IGHJ6	203
IGHM	204
IGHD	205
IGHG3	206
IGHG1	207
IGHEP1	208
IGHA1	209
IGHGP	210
IGHG2	211
IGHG4	212
IGHE	213
IGHA2	214
